chromosome,chromStart,chromEnd,strand,symbol,GeneID,feature_interval_length
chr5,114896926,114912245,+,Oasl2,23962,15320
chr5,114923143,114937911,+,Oasl1,231655,14769
chr5,114942154,114948540,+,2210016L21Rik,72357,6387
chr5,114948980,114971062,-,Hnf1a,21405,22083
chr5,115011524,115098790,+,Sppl3,74585,87267
chr5,115102922,115110268,-,Rpl37rt,100502825,7347
chr5,115110299,115119346,-,Acads,11409,9048
chr5,115122566,115134975,-,Unc119b,106840,12410
chr5,115142981,115158176,-,Mlec,109154,15196
chr5,115168691,115194381,-,Cabp1,29867,25691
chr5,115235588,115240972,+,Pop5,117109,5385
chr5,115241770,115272921,-,Rnf10,50849,31152
chr5,115279666,115296974,+,Coq5,52064,17309
chr5,115297110,115300990,-,Dynll1,56455,3881
chr5,115327163,115333843,+,Srsf9,108014,6681
chr5,115333242,115341161,-,Gatc,384281,7920
chr5,115341231,115343553,+,Triap1,69076,2323
chr5,115345623,115348958,-,Cox6a1,12861,3336
chr5,115359059,115455560,+,Msi1,17690,96502
chr5,115466142,115474722,+,Pla2g1b,18778,8581
chr5,115478006,115490264,-,Sirt4,75387,12259
chr5,115491970,115555987,+,Pxn,19303,64018
chr5,115559467,115563729,+,Rplp0,11837,4263
chr5,115565117,115622654,+,Gcn1,231659,57538
chr5,115631904,115647158,+,Rab35,77407,15255
chr5,115648174,115731844,-,Bicdl1,75665,83671
chr5,115845224,116008953,+,Cit,12704,163730
chr5,116013586,116024503,-,Prkab1,19079,10918
chr5,116038755,116083267,-,Tmem233,545798,44513
chr5,116125581,116289000,-,Ccdc60,269693,163420
chr5,116408491,116422864,-,Hspb8,80888,14374
chr5,116439268,116592562,-,Srrm4,68955,153295
chr5,117091678,117115993,-,Suds3,71954,24316
chr5,117120111,117275101,+,Taok3,330177,154991
chr5,117282651,117287564,-,Pebp1,23980,4914
chr5,117318476,117355007,+,Vsig10,231668,36532
chr5,117357305,117378601,+,Wsb2,59043,21297
chr5,117379145,117389023,-,Rfc5,72151,9879
chr5,117414002,117767996,+,Ksr2,333050,353995
chr5,117866839,117958840,+,Nos1,18125,92002
chr5,117976770,118010198,+,Fbxo21,231670,33429
chr5,118027743,118061878,+,Tesc,57816,34136
chr5,118064981,118155458,-,Fbxw8,231672,90478
chr5,118169764,118189478,+,Hrk,12123,19715
chr5,118190734,118245510,-,Rnft2,269695,54777
chr5,118245227,118263114,+,2410131K14Rik,76792,17888
chr5,118560330,118765438,+,Med13l,76199,205109
chr5,119670534,119684724,+,Tbx3,21386,14191
chr5,119796514,119885220,+,Tbx5,21388,88707
chr5,120116513,120198971,+,Rbm19,74111,82459
chr5,120431886,120441457,+,Lhx5,16873,9572
chr5,120458193,120472823,-,Sdsl,257635,14631
chr5,120476547,120483932,+,Sds,231691,7386
chr5,120483893,120503623,-,Plbd2,71772,19731
chr5,120511168,120534024,+,Slc8b1,170756,22857
chr5,120534157,120588678,-,Tpcn1,252972,54522
chr5,120586771,120607115,+,Iqcd,75732,20345
chr5,120609058,120612589,-,Rita1,100764,3532
chr5,120613082,120628592,+,Ddx54,71990,15511
chr5,120628335,120634235,-,Cfap73,546886,5901
chr5,120648040,120679597,+,Rasal1,19415,31558
chr5,120680203,120711867,-,Dtx1,14357,31665
chr5,120730333,120749886,-,Oas2,246728,19554
chr5,120753098,120777684,-,Oas3,246727,24587
chr5,120786312,120795530,-,Oas1e,231699,9219
chr5,120800194,120812540,-,Oas1c,114643,12347
chr5,120847367,120857986,+,Oas1f,243262,10620
chr5,120861422,120873506,+,Oas1h,246729,12085
chr5,120876142,120887613,-,Oas1g,23960,11472
chr5,120896256,120907544,-,Oas1a,246730,11289
chr5,120914818,120921648,+,Oas1d,100535,6831
chr5,120940499,121010116,-,Rph3a,19894,69618
chr5,121130533,121191397,-,Ptpn11,19247,60865
chr5,121204501,121209241,+,Rpl6,19988,4741
chr5,121219513,121368577,+,Hectd4,269700,149065
chr5,121371725,121386570,-,Trafd1,231712,14846
chr5,121397914,121442549,+,Naa25,231713,44636
chr5,121444753,121452474,-,Erp29,67397,7722
chr5,121452580,121518188,+,Tmem116,77462,65609
chr5,121500096,121503435,-,Adam1b,280667,3340
chr5,121518604,121521695,-,Adam1a,280668,3092
chr5,121525051,121545892,-,Mapkapk5,17165,20842
chr5,121566027,121593824,-,Aldh2,11669,27798
chr5,121598277,121618938,-,Acad12,338350,20662
chr5,121621026,121660603,-,Acad10,71985,39578
chr5,121660563,121687249,+,Brap,72399,26687
chr5,121711609,121814950,+,Atxn2,20239,103342
chr5,121815481,121837645,-,Sh2b3,16923,22165
chr5,121848997,121854604,+,Pheta1,231717,5608
chr5,121857962,122050415,-,Cux2,13048,192454
chr5,122100925,122114536,+,Myl2,17906,13612
chr5,122108052,122138080,-,Ccdc63,330188,30029
chr5,122154967,122175273,+,Ppp1cc,19047,20307
chr5,122195769,122200208,+,LOC115490135,115490135,4440
chr5,122206805,122242297,+,Hvcn1,74096,35493
chr5,122239495,122264489,-,Tctn1,654470,24995
chr5,122284398,122324281,+,Pptc7,320717,39884
chr5,122323223,122354270,-,Rad9b,231724,31048
chr5,122354328,122364984,+,Vps29,56433,10657
chr5,122364584,122372342,-,Fam216a,68948,7759
chr5,122372508,122382771,+,Gpn3,68080,10264
chr5,122391878,122406181,+,Arpc3,56378,14304
chr5,122422444,122444912,+,Anapc7,56317,22469
chr5,122453513,122502225,-,Atp2a2,11938,48713
chr5,122540265,122614546,-,Ift81,12589,74282
chr5,122643927,122692336,+,P2rx7,18439,48410
chr5,122707518,122729739,+,P2rx4,18438,22222
chr5,122718380,122779522,-,Camkk2,207565,61143
chr5,122787459,122822339,-,Anapc5,59008,34881
chr5,122850112,122868945,+,Rnf34,80751,18834
chr5,122870664,122989270,-,Kdm2b,30841,118607
chr5,123015074,123030452,+,Orai1,109305,15379
chr5,123033440,123047036,-,Morn3,74890,13597
chr5,123076265,123118213,+,Tmem120b,330189,41949
chr5,123118180,123141808,-,Rhof,23912,23629
chr5,123142040,123168630,+,Setd1b,208043,26591
chr5,123171807,123182723,-,Hpd,15445,10917
chr5,123228190,123250126,+,Psmd9,67151,21937
chr5,123251725,123327484,+,Wdr66,269701,75760
chr5,123344448,123374083,+,Bcl7a,77045,29636
chr5,123394521,123457932,+,Mlxip,208104,63412
chr5,123480149,123482643,-,Il31,76399,2495
chr5,123489286,123511776,+,Lrrc43,381741,22491
chr5,123508418,123511882,+,B3gnt4,231727,3465
chr5,123511330,123524164,-,Diablo,66593,12835
chr5,123528757,123573043,-,Vps33a,77573,44287
chr5,123577794,123684606,-,Clip1,56430,106813
chr5,123698302,123721044,-,Zcchc8,70650,22743
chr5,123728426,123749429,-,Rsrc2,208606,21004
chr5,123749692,123821593,+,Kntc1,208628,71902
chr5,123863570,123865516,-,Hcar2,80885,1947
chr5,123876736,123880020,-,Hcar1,243270,3285
chr5,123907205,123928832,+,Denr,68184,21628
chr5,123930425,123969895,+,Ccdc62,208908,39471
chr5,123973602,124003215,+,Hip1r,29816,29614
chr5,124004641,124032260,-,Vps37b,330192,27620
chr5,124061857,124095955,-,Abcb9,56325,34099
chr5,124112321,124115482,+,Ogfod2,66627,3162
chr5,124116108,124118195,+,Arl6ip4,65105,2088
chr5,124118689,124249910,-,Pitpnm2,19679,131222
chr5,124250959,124329397,-,Mphosph9,269702,78439
chr5,124328089,124341852,+,2810006K23Rik,72650,13764
chr5,124345439,124354628,-,Cdk2ap1,13445,9190
chr5,124368702,124426007,-,Sbno1,243272,57306
chr5,124439930,124462311,+,Kmt5a,67956,22382
chr5,124463265,124478235,-,Rilpl2,80291,14971
chr5,124483081,124493586,+,Snrnp35,76167,10506
chr5,124493080,124531441,-,Rilpl1,75695,38362
chr5,124540791,124550503,+,Tmed2,56334,9713
chr5,124552832,124569660,+,Ddx55,67848,16829
chr5,124570214,124579131,-,Eif2b1,209354,8918
chr5,124579148,124597680,+,Gtf2h3,209357,18533
chr5,124598749,124627738,+,Tctn2,67978,28990
chr5,124629052,124724455,+,Atp6v0a2,21871,95404
chr5,124725085,124834308,+,Dnah10,56087,109224
chr5,124834432,124862499,-,Ccdc92,215707,28068
chr5,124862705,124888630,+,Zfp664,269704,25926
chr5,125003448,125012547,+,Rflna,73121,9100
chr5,125017153,125179238,-,Ncor2,20602,162086
chr5,125277087,125341094,-,Scarb1,20778,64008
chr5,125385965,125390017,-,Ubc,22190,4053
chr5,125413747,125434139,-,Dhx37,208144,20393
chr5,125441568,125460885,+,Bri3bp,76809,19318
chr5,125475873,125517405,+,Aacs,78894,41533
chr5,125532418,125792583,+,Tmem132b,208151,260166
chr5,125844924,125849961,-,Gm4868,231736,5038
chr5,127241826,127565790,+,Tmem132c,208213,323965
chr5,127594545,127633292,-,Slc15a4,100561,38748
chr5,127632070,127709374,+,Glt1d1,319804,77305
chr5,127783491,128433077,-,Tmem132d,243274,649587
chr5,128601106,128604093,+,Fzd10,93897,2988
chr5,128736071,128755474,+,Piwil1,57749,19404
chr5,128757788,128953644,-,Rimbp2,231760,195857
chr5,128984557,129008600,-,Stx2,13852,24044
chr5,129020156,129024322,+,Ran,19384,4167
chr5,129096750,129204599,+,Adgrd1,243277,107850
chr5,129501231,129571384,+,Sfswap,231769,70154
chr5,129584151,129611099,+,Mmp17,23948,26949
chr5,129654595,129670088,-,Zfp11,22648,15494
chr5,129683391,129704984,-,Sept14,74222,21594
chr5,129715450,129718712,+,Mrps17,66258,3263
chr5,129725016,129758327,+,Nipsnap2,14467,33312
chr5,129765558,129787443,-,Psph,100678,21886
chr5,129787356,129846443,+,Cct6a,12466,59088
chr5,129846990,129863951,+,Sumf2,67902,16962
chr5,129863431,129879134,-,Phkg1,18682,15704
chr5,129881161,129887470,-,Chchd2,14004,6310
chr5,129895723,129908509,+,Zbed5,71970,12787
chr5,129908540,129913788,+,Nupr1l,69034,5249
chr5,129942109,129986692,+,Vkorc1l1,69568,44584
chr5,129989011,130003049,-,Gusb,110006,14039
chr5,130011258,130024381,-,Asl,109900,13124
chr5,130029306,130060787,+,Crcp,12909,31482
chr5,130073326,130135734,+,Tpst1,22021,62409
chr5,130137978,130155119,+,Kctd7,212919,17142
chr5,130171791,130214342,+,Rabgef1,56715,42552
chr5,130208071,130208580,-,Gm15921,108169073,510
chr5,130219744,130243765,+,Tmem248,71667,24022
chr5,130245732,130255530,-,Sbds,66711,9799
chr5,130255572,130341568,+,Tyw1,100929,85997
chr5,130369404,130846325,+,Caln1,140904,476922
chr5,130378851,130384631,-,A330070K13Rik,381673,5781
chr5,130874343,131307522,-,Galnt17,212996,433180
chr5,131437333,132543220,-,Auts2,319974,1105888
chr5,134099748,134141782,+,Castor2,80909,42035
chr5,134148058,134179124,-,Rcc1l,94254,31067
chr5,134182557,134218146,+,Gtf2ird2,114674,35590
chr5,134220053,134229628,-,Ncf1,17969,9576
chr5,134237832,134317678,-,Gtf2i,14886,79847
chr5,134357661,134456867,-,Gtf2ird1,57080,99207
chr5,134489383,134553767,-,Clip2,269713,64385
chr5,134557254,134577038,-,Syna,214292,19785
chr5,134582690,134598328,+,Rfc2,19718,15639
chr5,134600103,134619783,-,Lat2,56743,19681
chr5,134619872,134639409,-,Eif4h,22384,19538
chr5,134656039,134689859,-,Limk1,16885,33821
chr5,134702595,134747368,-,Eln,13717,44774
chr5,134901593,134906733,-,Tmem270,76629,5141
chr5,134914250,134915530,-,Cldn13,57255,1281
chr5,134932304,134942637,+,Mettl27,79565,10334
chr5,134945123,134946934,-,Cldn4,12740,1812
chr5,134986214,134987476,+,Cldn3,12739,1263
chr5,135009152,135012175,+,Abhd11,68758,3024
chr5,135023482,135051100,+,Stx1a,20907,27619
chr5,135052957,135064959,-,Bud23,66138,12003
chr5,135064206,135065365,+,Dnajc30,66114,1160
chr5,135072899,135078326,-,Vps37d,194309,5428
chr5,135089890,135139768,+,Mlxipl,58805,49879
chr5,135149429,135163873,+,Tbl2,27368,14445
chr5,135168372,135181852,+,Bcl7b,12054,13481
chr5,135187323,135246131,+,Baz1b,22385,58809
chr5,135248938,135251047,-,Fzd9,14371,2110
chr5,135291704,135351809,-,Fkbp6,94244,60106
chr5,135351884,135367890,+,Trim50,215061,16007
chr5,135369930,135376805,+,Nsun5,100609,6876
chr5,135376140,135404841,-,Pom121,107939,28702
chr5,135406518,135545323,-,Hip1,215114,138806
chr5,135560448,135563569,-,Ccl26,541307,3122
chr5,135569935,135573123,-,Ccl24,56221,3189
chr5,135632654,135646376,+,Rhbdd2,215160,13723
chr5,135670040,135735326,+,Por,18984,65287
chr5,135735490,135744172,-,Tmem120a,215210,8683
chr5,135747220,135778424,-,Styxl1,76571,31205
chr5,135778649,135790386,+,Mdh2,17448,11738
chr5,135806860,135874773,+,Srrm3,58212,67914
chr5,135887919,135889563,+,Hspb1,15507,1645
chr5,135908379,135934641,-,Ywhag,22628,26263
chr5,135960220,135974535,-,Ssc4d,109267,14316
chr5,135980105,135988624,+,Zp3,22788,8520
chr5,135994800,136032881,+,Dtx2,74198,38082
chr5,136038496,136044993,+,Upk3b,100647,6498
chr5,136057259,136076695,+,Upk3bl,69665,19437
chr5,136083916,136111860,+,Rasa4,54153,27945
chr5,136116691,136122947,+,Polr2j,20022,6257
chr5,136123066,136136074,-,Lrwd1,71735,13009
chr5,136136145,136141800,+,Alkbh4,72041,5656
chr5,136147456,136172564,-,Orai2,269717,25109
chr5,136180357,136198954,-,Prkrip1,66801,18598
chr5,136218147,136246595,-,Sh2b2,23921,28449
chr5,136248135,136567590,-,Cux1,13047,319456
chr5,136688892,136701857,+,Myl10,59310,12966
chr5,136741759,136883376,-,Col26a1,140709,141618
chr5,136908150,136914509,+,Ift22,67286,6360
chr5,136953275,136966234,+,Fis1,66437,12960
chr5,136967869,136975845,+,Cldn15,60363,7977
chr5,136982194,136987959,-,Znhit1,70103,5766
chr5,136987019,136996646,+,Plod3,26433,9628
chr5,137025301,137033351,+,Vgf,381677,8051
chr5,137034993,137046108,-,Ap1s1,11769,11116
chr5,137061504,137072272,-,Serpine1,18787,10769
chr5,137111286,137116462,-,Trim56,384309,5177
chr5,137134924,137166048,-,Muc3,666339,31125
chr5,137166892,137179164,-,Gm31160,102633301,12273
chr5,137178509,137186439,-,Gm40349,105244804,7931
chr5,137208805,137212545,-,Muc3a,619309,3741
chr5,137288247,137294466,+,Ache,11423,6220
chr5,137294669,137295664,+,Ufsp1,70240,996
chr5,137295704,137307716,-,Srrt,83701,12013
chr5,137309898,137314480,-,Trip6,22051,4583
chr5,137314558,137340070,-,Slc12a9,83704,25513
chr5,137350109,137374522,+,Ephb4,13846,24414
chr5,137378637,137477064,-,Zan,22635,98428
chr5,137483020,137485816,-,Epo,13856,2797
chr5,137501439,137502429,-,Pop7,74097,991
chr5,137510263,137527935,+,Gigyf1,57330,17673
chr5,137528127,137533449,-,Gnb2,14693,5323
chr5,137553361,137569582,+,Actl6b,83766,16222
chr5,137569822,137588081,+,Tfr2,50765,18260
chr5,137596645,137601079,-,Mospd3,68929,4435
chr5,137605105,137611522,-,Pcolce,18542,6418
chr5,137612505,137625078,-,Fbxo24,71176,12574
chr5,137629123,137641099,+,Lrch4,231798,11977
chr5,137641473,137642902,+,Sap25,751865,1430
chr5,137643032,137645714,-,Irs3,16369,2683
chr5,137650463,137684806,-,Agfg2,231801,34344
chr5,137730882,137741168,-,Nyap1,243300,10287
chr5,137745969,137768453,+,Tsc22d4,78829,22485
chr5,137778904,137780110,+,Ppp1r35,69871,1207
chr5,137781906,137786701,-,Mepce,231803,4796
chr5,137787157,137822621,+,Zcwpw1,381678,35465
chr5,137821952,137836278,-,Pilra,231805,14327
chr5,137852141,137858425,-,Pilrb1,170741,6285
chr5,137865821,137871914,-,Pilrb2,545812,6094
chr5,137892933,137925610,-,Cyp3a13,13113,32678
chr5,137950992,137963098,-,Gjc3,118446,12107
chr5,137981521,137990233,+,Azgp1,12007,8713
chr5,138021276,138034665,+,Smok3a,545814,13390
chr5,138037224,138050633,+,Smok3b,622474,13410
chr5,138053195,138066539,+,Smok3c,622486,13345
chr5,138085050,138107822,+,Zkscan1,74570,22773
chr5,138116899,138134265,+,Zscan21,22697,17367
chr5,138139702,138155744,-,Zfp113,56314,16043
chr5,138161102,138163984,+,Cops6,26893,2883
chr5,138164583,138172111,-,Mcm7,17220,7529
chr5,138172021,138180429,+,Ap4m1,11781,8409
chr5,138178617,138187451,-,Taf6,21343,8835
chr5,138187535,138193894,+,Cnpy4,66455,6360
chr5,138194314,138195621,+,Mblac1,330216,1308
chr5,138207499,138251876,+,Nxpe5,381680,44378
chr5,138255482,138259395,+,Lamtor4,66096,3914
chr5,138259658,138264061,-,Map11,231807,4404
chr5,138264918,138273057,-,Gal3st4,330217,8140
chr5,138272514,138312397,+,Stag3,50878,39884
chr5,138273657,138280026,-,Gpc2,71951,6370
chr5,138335208,138360140,+,Pvrig,102640920,24933
chr5,138441458,138460900,+,Zfp157,72154,19443
chr5,138561823,138564719,-,1700123K08Rik,76658,2897
chr5,138603652,138619743,-,Zfp68,24135,16092
chr5,138622859,138648917,+,A430033K04Rik,243308,26059
chr5,138755081,138810063,+,Fam20c,80752,54983
chr5,138819865,138821731,+,Gm5294,384244,1867
chr5,138976014,139000792,-,Pdgfa,18590,24779
chr5,139017304,139150703,-,Prkar1b,19085,133400
chr5,139150133,139186510,+,Dnaaf5,433956,36378
chr5,139200564,139249839,+,Sun1,77053,49276
chr5,139252324,139270050,+,Get4,67604,17727
chr5,139271876,139325763,-,Adap1,231821,53888
chr5,139337822,139345166,-,Cox19,68033,7345
chr5,139352616,139359607,+,Cyp2w1,545817,6992
chr5,139359739,139460534,-,3110082I17Rik,73212,100796
chr5,139377697,139396415,+,Gpr146,80290,18719
chr5,139405129,139416092,+,C130050O18Rik,319772,10964
chr5,139423150,139427800,+,Gper1,76854,4651
chr5,139471216,139484491,-,Zfand2a,100494,13276
chr5,139543865,139548179,+,Uncx,22255,4315
chr5,139706692,139736333,-,Micall2,231830,29642
chr5,139751282,139775702,-,Ints1,68510,24421
chr5,139791536,139802653,+,Mafk,17135,11118
chr5,139804951,139819969,-,Tmem184a,231832,15019
chr5,139823613,139826894,-,Psmg3,66506,3282
chr5,139907591,139974725,+,Elfn1,243312,67135
chr5,140008689,140321608,-,Mad1l1,17120,312920
chr5,140321622,140338137,+,Nudt1,17766,16516
chr5,140327674,140331898,-,Mrm2,68017,4225
chr5,140340293,140389308,-,Snx8,231834,49016
chr5,140419305,140443358,+,Eif3b,27979,24054
chr5,140456901,140495884,+,Gm4869,101055939,38984
chr5,140505569,140525238,+,Chst12,59031,19670
chr5,140558452,140562921,-,LOC115490161,115490161,4470
chr5,140563117,140567526,-,Grifin,77998,4410
chr5,140607341,140615545,+,Lfng,16848,8205
chr5,140620577,140649071,-,Ttyh3,78339,28495
chr5,140662553,140702403,-,Iqce,74239,39851
chr5,140704763,140719379,+,Brat1,231841,14617
chr5,140724127,140753312,+,Amz1,231842,29186
chr5,140759944,140830431,-,Gna12,14673,70488
chr5,140872999,141000596,-,Card11,108723,127598
chr5,141241497,142215586,+,Sdk1,330222,974090
chr5,142401497,142462015,+,Foxk1,17425,60519
chr5,142463207,142478716,+,Ap5z1,231855,15510
chr5,142483795,142551098,-,Radil,231858,67304
chr5,142527740,142530076,-,Papolb,56522,2337
chr5,142563480,142608936,-,Mmd2,75104,45457
chr5,142629533,142669672,+,Wipi2,74781,40140
chr5,142692478,142722490,+,Slc29a4,243328,30013
chr5,142724602,142823668,-,Tnrc18,231861,99067
chr5,142866946,142896721,-,Fbxl18,231863,29776
chr5,142903115,142907976,-,Actb,11461,4862
chr5,142960355,142973189,+,Fscn1,14086,12835
chr5,142990893,143113041,-,Rnf216,108086,122149
chr5,143172182,143180837,-,Rbak,57782,8656
chr5,143180924,143205077,+,Spdye4b,330228,24154
chr5,143216315,143226902,-,Spdye4a,74673,10588
chr5,143235138,143248834,+,Zfp12,231866,13697
chr5,143249695,143270031,-,Zfp316,54201,20337
chr5,143285999,143293982,-,Zfp853,330230,7984
chr5,143301072,143315387,-,E130309D02Rik,231868,14316
chr5,143316489,143329268,-,Zdhhc4,72881,12780
chr5,143357330,143391779,+,Grid2ip,170935,34450
chr5,143403820,143421904,+,Kdelr2,66913,18085
chr5,143464484,143504442,+,Daglb,231871,39959
chr5,143505481,143528031,-,Rac1,19353,22551
chr5,143548720,143564531,+,Fam220a,67238,15812
chr5,143622447,143710250,+,Cyth3,19159,87804
chr5,143710325,143759753,-,Usp42,76800,49429
chr5,143776109,143779549,+,LOC115490151,115490151,3441
chr5,143817792,143902717,+,Eif2ak1,15467,84926
chr5,143890637,143895067,-,Ankrd61,66729,4431
chr5,143902704,143909839,-,Aimp2,231872,7136
chr5,143909901,143972745,+,Pms2,18861,62845
chr5,143975336,143985719,+,LOC115486439,115486439,10384
chr5,143987909,144014883,-,Ccz1,231874,26975
chr5,144019807,144050640,-,Ocm,18261,30834
chr5,144100361,144188208,+,Lmtk2,231876,87848
chr5,144190251,144194441,+,Bhlha15,17341,4191
chr5,144194442,144223615,-,Tecpr1,70381,29174
chr5,144244437,144264573,+,Bri3,55950,20137
chr5,144264525,144358112,-,Baiap2l1,66898,93588
chr5,144545887,144557478,+,Nptx2,53324,11592
chr5,144672717,144677468,+,LOC115490152,115490152,4752
chr5,144735915,144761578,-,Tmem130,243339,25664
chr5,144767737,144859778,+,Trrap,100683,92042
chr5,144876495,144965899,-,Smurf1,75788,89405
chr5,144983727,145009636,-,Kpna7,381686,25910
chr5,145029600,145032764,-,Gm4871,231885,3165
chr5,145042953,145045681,+,1700018F24Rik,69396,2729
chr5,145083869,145108756,+,Arpc1a,56443,24888
chr5,145114256,145128186,+,Arpc1b,11867,13931
chr5,145128770,145140025,-,Pdap1,231887,11256
chr5,145140376,145148078,+,Bud31,231889,7703
chr5,145147378,145167104,-,Ptcd1,71799,19727
chr5,145167072,145182041,+,Cpsf4,54188,14970
chr5,145183706,145191592,-,Atp5j2,57423,7887
chr5,145194946,145204164,-,Zkscan14,67235,9219
chr5,145204559,145221752,+,Zkscan5,22757,17194
chr5,145231595,145247306,+,Zfp655,72611,15712
chr5,145280451,145292243,+,Zscan25,666311,11793
chr5,145345149,145390926,+,Cyp3a57,622127,45778
chr5,145436309,145469740,-,Cyp3a16,13114,33432
chr5,145558664,145584732,-,Cyp3a41b,100041375,26069
chr5,145694049,145720136,-,Cyp3a41a,53973,26088
chr5,145773983,145805891,-,Cyp3a44,337924,31909
chr5,145854607,145879854,-,Cyp3a11,13112,25248
chr5,145977192,146009644,-,Cyp3a25,56388,32453
chr5,146079208,146114978,+,Cyp3a59,100041449,35771
chr5,146157798,146160575,-,Gm5565,433961,2778
chr5,146168029,146170763,-,Gm6309,622306,2735
chr5,146182441,146190196,-,1700001J03Rik,69282,7756
chr5,146209193,146221457,-,Rnf6,74132,12265
chr5,146230795,146302874,+,Cdk8,264064,72080
chr5,146385006,146473615,+,Wasf3,245880,88610
chr5,146481943,146484702,+,Gm6408,623198,2760
chr5,146491306,146494136,+,Gm6370,622924,2831
chr5,146502343,146505183,+,4930449I24Rik,67410,2841
chr5,146514067,146516902,+,Gm3402,100041548,2836
chr5,146525783,146528553,+,Gm3404,100041554,2771
chr5,146537624,146540427,+,Gm3409,100041566,2804
chr5,146556112,146558915,+,Gm3415,100041578,2804
chr5,146582150,146586465,-,Gpr12,14738,4316
chr5,146734809,146794956,-,Usp12,22217,60148
chr5,146832890,146837032,+,Rpl21,19933,4143
chr5,146845071,146847726,+,Rasl11a,68895,2656
chr5,146948657,146955614,+,Gtf3a,66596,6958
chr5,146951573,146963855,-,Mtif3,76366,12283
chr5,147016655,147076572,-,Lnx2,140887,59918
chr5,147076715,147111361,+,Polr1d,20018,34647
chr5,147188696,147190947,+,Gsx1,14842,2252
chr5,147270097,147275848,+,Pdx1,18609,5752
chr5,147300900,147307249,-,Cdx2,12591,6350
chr5,147314984,147322440,-,Urad,231903,7457
chr5,147330741,147400489,-,Flt3,14255,69749
chr5,147399672,147401920,+,LOC108169082,108169082,2249
chr5,147426208,147548501,+,Pan3,72587,122294
chr5,147561604,147726438,-,Flt1,14254,164835
chr5,147860628,147875784,+,Pomp,66537,15157
chr5,147875897,147894861,-,Slc46a3,71706,18965
chr5,147957275,148316065,+,Mtus2,77521,358791
chr5,148327410,148399904,-,Slc7a1,11987,72495
chr5,148504631,148552879,-,Ubl3,24109,48249
chr5,148871584,148929168,-,Katnal1,231912,57585
chr5,149046702,149053057,-,Hmgb1,15289,6356
chr5,149184560,149215434,+,Uspl1,231915,30875
chr5,149265004,149288153,+,Alox5ap,11690,23150
chr5,149367641,149431723,+,Medag,70717,64083
chr5,149439651,149470979,+,Tex26,75860,31329
chr5,149484409,149611894,+,Wdr95,381693,127486
chr5,149616843,149636498,-,Hsph1,15505,19656
chr5,149678100,149762599,+,B3glct,381694,84500
chr5,150018675,150082550,+,Rxfp2,140498,63876
chr5,150118618,150497753,+,Fry,320365,379136
chr5,150507055,150518194,-,Zar1l,545824,11140
chr5,150522297,150570147,+,Brca2,12190,47851
chr5,150571643,150598678,-,N4bp2l1,100637,27036
chr5,150599931,150665748,-,N4bp2l2,381695,65818
chr5,150671178,150703016,+,Gm40353,105244808,31839
chr5,150673713,150810669,+,Pds5b,100710,136957
chr5,150952607,150993817,+,Kl,16591,41211
chr5,151037515,151428200,-,Stard13,243362,390686
chr5,151561661,151586924,-,Vmn2r18,632671,25264
chr5,151642817,151651208,-,Rfc3,69263,8392
chr6,3372257,3399571,-,Samd9l,209086,27315
chr6,3457089,3498322,-,Hepacam2,101202,41234
chr6,3498393,3603531,+,Vps50,73288,105139
chr6,3685680,3764713,-,Calcr,12311,79034
chr6,3962589,3988978,-,Tfpi2,21789,26390
chr6,3989082,3997436,+,Gngt1,14699,8355
chr6,4003987,4008445,+,Gng11,66066,4459
chr6,4076899,4086998,-,Bet1,12068,10100
chr6,4505618,4541543,+,Col1a2,12843,35926
chr6,4600636,4643381,+,Casd1,213819,42746
chr6,4674350,4747204,-,Sgce,20392,72855
chr6,4747306,4760517,+,Peg10,170676,13212
chr6,4893256,4903214,-,Gmfg-ps,100040018,9959
chr6,4902872,5165661,+,Ppp1r9a,243725,262790
chr6,5168090,5193987,-,Pon1,18979,25898
chr6,5216256,5256285,-,Pon3,269823,40030
chr6,5264620,5298345,-,Pon2,330260,33726
chr6,5383386,5433022,+,Asb4,65255,49637
chr6,5483351,5496278,-,Pdk4,27273,12928
chr6,5725600,6028039,+,Dync1i1,13426,302440
chr6,6041218,6217304,-,Slc25a13,50799,176087
chr6,6558275,6578658,-,Sem1,20422,20384
chr6,6863334,6867970,+,Dlx6,13396,4637
chr6,6877801,6882068,-,Dlx5,13395,4268
chr6,6955971,7039661,+,Sdhaf3,71238,83691
chr6,7555061,7562978,+,Tac1,21333,7918
chr6,7675165,7693209,-,Asns,27053,18045
chr6,7845224,7872042,+,C1galt1,94192,26819
chr6,7997100,8193709,-,Col28a1,213945,196610
chr6,8209111,8240573,+,Mios,252875,31463
chr6,8255936,8259141,-,Rpa3,68240,3206
chr6,8259288,8428767,+,Umad1,100036521,169480
chr6,8509600,8597549,+,Glcci1,170772,87950
chr6,8630527,8778540,-,Ica1,15893,148014
chr6,8948614,9249619,+,Nxph1,18231,301006
chr6,11900372,11907450,-,Ndufa4,17992,7079
chr6,11907725,12100156,+,Phf14,75725,192432
chr6,12311608,12749253,-,Thsd7a,330267,437646
chr6,13069759,13089269,+,Tmem106b,71900,19511
chr6,13156440,13224965,-,Vwde,232585,68526
chr6,13263695,13264606,+,Gm725,277899,912
chr6,13580689,13608098,-,Tmem168,101118,27410
chr6,13625675,13677966,-,Bmt2,101148,52292
chr6,13834406,13839942,-,Gpr85,64450,5537
